Index,MeanRedund,StdevRedund,SSM,Pop_Ix,Genre
0,71.35637481,9.763482745,,5,Pop
1,53.64885496,15.02831749,,0,Pop
2,53.93540846,12.29684864,,0,Pop
3,59.11901479,12.0156395,,0,Pop
4,60.88991081,12.09005808,,0,Pop
5,57.35579515,13.20288113,,0,Pop
6,64.76356245,11.50639347,,0,Pop
7,63.15359613,10.79679613,,2,Pop
8,56.42115346,12.89310339,,0,Pop
9,57.70507588,11.17674898,,0,Pop
10,53.68472906,12.45066955,,0,Pop
11,53.78573663,12.41282684,,0,Pop
12,56.30510759,11.48344007,,2,Pop
13,61.83877266,12.37893463,,0,Pop
14,63.2499129,11.5484511,,0,Pop
15,57.85336704,11.88783268,,0,Pop
16,56.29171312,12.54699461,,0,Pop
17,61.99170654,13.38974026,,0,Pop
18,60.13092842,12.49617304,,1,Pop
19,59.68427309,10.8813718,,1,Pop
20,52.73105315,12.26518664,,0,Pop
21,55.38391685,12.80511202,,4,Pop
22,59.42805921,11.80465471,,0,Pop
23,57.57476778,12.87379557,,0,Pop
24,60.7320197,12.80371621,,3,Pop
25,56.3193034,12.52787239,,0,Pop
26,50.66232304,13.40674099,,0,Pop
27,61.4683137,11.4234343,,1,Pop
28,53.07135484,12.84126183,,0,Pop
29,61.46325219,11.72818703,,0,Pop
30,57.62898186,12.7854963,,0,Pop
31,53.97894737,12.74695576,,0,Pop
32,53.24233766,13.09731705,,0,Pop
33,67.64711898,10.95660512,,2,Pop
34,57.26539683,12.52450206,,0,Pop
35,58.56450804,12.55246077,,0,Pop
36,61.70990298,11.97986709,,3,Pop
37,58.71814073,11.23745229,,0,Pop
38,59.65694869,10.72516981,,0,Pop
39,47.34862385,11.2553305,,5,Pop
40,55.95423242,12.24496344,,0,Pop
41,56.14641093,11.26176918,,3,Pop
42,61.15579419,10.83608145,,0,Pop
43,56.31543218,12.44618656,,0,Pop
44,55.92378384,12.50282896,,6,Pop
45,56.14562849,11.73088857,,0,Pop
46,54.88028896,11.45004316,,0,Pop
47,51.80672269,11.26968416,,0,Pop
48,54.12915977,14.31906836,,0,Pop
49,54.97789062,12.90463511,,0,Pop
50,64.8704554,12.68163691,,1,Pop
51,50.51072523,12.18220698,,0,Pop
52,55.85928144,13.63463272,,0,Pop
53,53.37634409,11.88943895,,0,Pop
54,48.58092738,13.60896141,,10,Pop
55,55.69322644,13.18709631,,1,Pop
56,59.73460003,13.37474506,,1,Pop
57,59.55004147,11.30966394,,4,Pop
58,52.12478522,11.34510677,,0,Pop
59,62.19933695,11.23197717,,0,Pop
60,50.28512597,11.57191667,,0,Pop
61,57.69684129,12.392544,,0,Pop
62,56.18994138,11.39597137,,0,Pop
63,66.08563202,11.81259116,,6,Pop
64,65.14314866,12.41237353,,3,Pop
65,61.21206525,12.12220512,,0,Pop
66,57.3080268,10.94262722,,5,Pop
67,49.70871518,11.85456059,,4,Pop
68,63.42721633,11.84533122,,0,Pop
69,64.80162105,11.59154496,,0,Pop
70,58.95711789,11.46763695,,0,Pop
71,55.27371579,12.58320421,,1,Pop
72,64.26032541,11.11486678,,5,Pop
73,51.48281887,11.49765728,,1,Pop
74,50.29064748,11.07806574,,0,Pop
75,52.96910891,13.44033519,,4,Pop
76,56.62855744,14.08107731,,6,Pop
77,54.78474621,13.32078956,,0,Pop
78,62.86666045,14.6781249,,1,Pop
79,64.7554416,11.06800447,,1,Pop
80,56.44078186,12.98767713,,10,Pop
81,58.25193216,12.02146586,,0,Pop
82,57.20744753,12.86682401,,1,Pop
83,58.71148302,11.69733099,,1,Pop
84,61.20283629,11.70312932,,0,Pop
85,56.66839378,12.29732305,,0,Pop
86,54.84872718,13.6972915,,0,Pop
87,60.1460911,12.3123128,,1,Pop
88,56.8666359,11.99766706,,1,Pop
89,52.38145817,13.89705576,,3,Pop
90,60.26566844,13.37394138,,0,Pop
91,63.86374264,10.88100052,,0,Pop
92,63.12125154,12.3690815,,0,Pop
93,55.78894789,13.04333221,,0,Pop
94,56.2541973,12.40076779,,1,Pop
95,59.19354131,10.0298604,,0,Pop
96,50.72664309,13.20839967,,0,Pop
97,50.86783307,12.83395189,,10,Pop
98,58.53446725,11.93545164,,0,Pop
99,57.44233022,13.40879636,,2,Pop
100,55.46511628,12.89400818,,11,Pop
101,61.89381121,10.84037217,,21,Pop
102,56.60507446,10.63172567,,14,Pop
103,55.59894821,11.87386908,,24,Pop
104,55.07776839,15.14714654,,12,Pop
105,54.19293184,12.4407254,,18,Pop
106,54.93930571,10.91765526,,24,Pop
107,53.49412361,12.5052498,,14,Pop
108,59.71962617,12.1508667,,24,Pop
109,53.25085683,12.33035151,,45,Pop
110,57.65067108,11.46136122,,50,Pop
111,61.6723604,12.28496324,,42,Pop
112,52.75738857,13.4362416,,37,Pop
113,51.70346105,11.80857023,,50,Pop
114,52.72548878,12.54120252,,49,Pop
115,57.58110937,11.01519758,,35,Pop
116,54.74686564,14.16554044,,50,Pop
117,53.87665518,11.90023775,,31,Pop
118,53.32561092,12.13900837,,39,Pop
119,62.08136998,10.91865297,,49,Pop
120,55.3784238,13.13840763,,27,Pop
121,56.86094553,12.51829846,,50,Pop
122,60.64319521,10.95529743,,44,Pop
123,52.96197966,11.08296839,,33,Pop
124,57.77631431,11.58017117,,27,Pop
125,60.30731406,11.59221569,,41,Pop
126,61.75448361,12.39004486,,38,Pop
127,54.53328737,12.78074685,,32,Pop
128,61.20876358,12.11170964,,43,Pop
129,55.02521008,12.55208489,,34,Pop
130,56.54371365,11.12973483,,42,Pop
131,62.10145109,11.10136091,,48,Pop
132,49.85727136,13.25006929,,45,Pop
133,66.53128704,10.66100619,,50,Pop
134,54.83872285,11.53504229,,47,Pop
135,60.52476003,12.51739357,,45,Pop
136,53.8965646,11.84627936,,40,Pop
137,55.38811144,13.31915745,,47,Pop
