href,id,name,popularity,uri,album.name
https://api.spotify.com/v1/tracks/1J9iVCaEriyoMXpj2XszhU,1J9iVCaEriyoMXpj2XszhU,When Sunny Gets Blue,63,spotify:track:1J9iVCaEriyoMXpj2XszhU,Today And Tomorrow
https://api.spotify.com/v1/tracks/3nuigRVfjSREzo7i4Af4tc,3nuigRVfjSREzo7i4Af4tc,Hipster,0,spotify:track:3nuigRVfjSREzo7i4Af4tc,Urban Novel
https://api.spotify.com/v1/tracks/79fXdfpOPGaXO1gfdq2onl,79fXdfpOPGaXO1gfdq2onl,All of Me,49,spotify:track:79fXdfpOPGaXO1gfdq2onl,Billie Holiday Love Songs
https://api.spotify.com/v1/tracks/64hIGVT0pT44TP0PGGZ2aU,64hIGVT0pT44TP0PGGZ2aU,Essence Of Sapphire,0,spotify:track:64hIGVT0pT44TP0PGGZ2aU,Late Night Tales - Bonobo
https://api.spotify.com/v1/tracks/0dWOiVQwoUYTtXD0VVgmJQ,0dWOiVQwoUYTtXD0VVgmJQ,Chega de Saudade,48,spotify:track:0dWOiVQwoUYTtXD0VVgmJQ,Rosa Morena
https://api.spotify.com/v1/tracks/4on3eMnc3jPhCUgBfG694n,4on3eMnc3jPhCUgBfG694n,The Good Life,36,spotify:track:4on3eMnc3jPhCUgBfG694n,Quartet West
https://api.spotify.com/v1/tracks/3xyWojY10M9NSgnW0FZCbI,3xyWojY10M9NSgnW0FZCbI,Time After Time,22,spotify:track:3xyWojY10M9NSgnW0FZCbI,The Definitive John Coltrane On Prestige And Riverside
https://api.spotify.com/v1/tracks/39hw7cHneF75IdMKLSRZOD,39hw7cHneF75IdMKLSRZOD,Brainville,0,spotify:track:39hw7cHneF75IdMKLSRZOD,Jazz by Sun Ra
https://api.spotify.com/v1/tracks/0TYaiwJB9eLNew2VYxF6i8,0TYaiwJB9eLNew2VYxF6i8,The Flood,11,spotify:track:0TYaiwJB9eLNew2VYxF6i8,Organic Riot
https://api.spotify.com/v1/tracks/3QuSHJUfvuOyeKMS32Wckj,3QuSHJUfvuOyeKMS32Wckj,April In Paris - 2007 Remaster/Rudy Van Gelder Edition,50,spotify:track:3QuSHJUfvuOyeKMS32Wckj,The Magnificent Thad Jones (Remastered)
https://api.spotify.com/v1/tracks/3CDHydgW0ssTh59f0jy1y3,3CDHydgW0ssTh59f0jy1y3,The Look Of Love,66,spotify:track:3CDHydgW0ssTh59f0jy1y3,The Look Of Love
https://api.spotify.com/v1/tracks/5p6me2mwQrGfH30eExHn6v,5p6me2mwQrGfH30eExHn6v,Take Five,55,spotify:track:5p6me2mwQrGfH30eExHn6v,On Time
https://api.spotify.com/v1/tracks/16QhvfPMBLpo7sFqOqTff3,16QhvfPMBLpo7sFqOqTff3,Namely You,15,spotify:track:16QhvfPMBLpo7sFqOqTff3,Complete 1957 - 1958 Quintet and Sextet Sessions
https://api.spotify.com/v1/tracks/5o3DSHw1ORhM3lWxqGRvEf,5o3DSHw1ORhM3lWxqGRvEf,"All Blues (feat. John Coltrane, Cannonball Adderley & Bill Evans)",54,spotify:track:5o3DSHw1ORhM3lWxqGRvEf,Kind Of Blue (Legacy Edition)
https://api.spotify.com/v1/tracks/14FkDSrkQPko4YMhx6dLI2,14FkDSrkQPko4YMhx6dLI2,Chronology,26,spotify:track:14FkDSrkQPko4YMhx6dLI2,The Shape Of Jazz To Come
https://api.spotify.com/v1/tracks/0Y6WjYBWld3reWsTMT8FTd,0Y6WjYBWld3reWsTMT8FTd,Where We Used To Live,44,spotify:track:0Y6WjYBWld3reWsTMT8FTd,E.S:T. Tuesday Wonderland
https://api.spotify.com/v1/tracks/76XqHxPg6spx9xILgC99Fg,76XqHxPg6spx9xILgC99Fg,Samba Triste,0,spotify:track:76XqHxPg6spx9xILgC99Fg,Jazz Samba
https://api.spotify.com/v1/tracks/6d70Wz9U7R24vIobGpgcee,6d70Wz9U7R24vIobGpgcee,The Spell of the Samba (Samba da Minha Terra),22,spotify:track:6d70Wz9U7R24vIobGpgcee,Jazz Meets the Bossa Nova
https://api.spotify.com/v1/tracks/1DgQyMa4f1myDWa21BwgVq,1DgQyMa4f1myDWa21BwgVq,I Let a Song Go out of My Heart,40,spotify:track:1DgQyMa4f1myDWa21BwgVq,Swingtime Again
https://api.spotify.com/v1/tracks/3oSBVpyGQ9N3hPibpw0GkB,3oSBVpyGQ9N3hPibpw0GkB,Peace Piece,25,spotify:track:3oSBVpyGQ9N3hPibpw0GkB,The Best Of Bill Evans
https://api.spotify.com/v1/tracks/0IffIW3eyCx9aZ36IqOu5o,0IffIW3eyCx9aZ36IqOu5o,Infant Eyes - Remastered1998/Rudy Van Gelder Edition,54,spotify:track:0IffIW3eyCx9aZ36IqOu5o,Speak No Evil
https://api.spotify.com/v1/tracks/5C1s6a1SXSM1wUP7XyYbQF,5C1s6a1SXSM1wUP7XyYbQF,About The Monks,14,spotify:track:5C1s6a1SXSM1wUP7XyYbQF,About The Monks
https://api.spotify.com/v1/tracks/0XA48sfKDPJO8aUUS1DXBn,0XA48sfKDPJO8aUUS1DXBn,Vous qui passez sans me voir,14,spotify:track:0XA48sfKDPJO8aUUS1DXBn,Les duos improbables 2
https://api.spotify.com/v1/tracks/0b9jIWGchhRtF9XTF9labn,0b9jIWGchhRtF9XTF9labn,Karl-Bertil Jonssons Julafton,37,spotify:track:0b9jIWGchhRtF9XTF9labn,Arne Domnérus with Jimmy Rowles
https://api.spotify.com/v1/tracks/1qzOAxBlcEmqfT5WnayGO5,1qzOAxBlcEmqfT5WnayGO5,Waiting,14,spotify:track:1qzOAxBlcEmqfT5WnayGO5,Days of Blue
https://api.spotify.com/v1/tracks/02M2OoPaKPmkCl7kidq6nK,02M2OoPaKPmkCl7kidq6nK,Theme for Maxine,29,spotify:track:02M2OoPaKPmkCl7kidq6nK,Rosewood
https://api.spotify.com/v1/tracks/3aEJMh1cXKEjgh52claxQp,3aEJMh1cXKEjgh52claxQp,I've Got You Under My Skin - Remastered 1998,70,spotify:track:3aEJMh1cXKEjgh52claxQp,Songs For Swingin' Lovers! (Remastered)
https://api.spotify.com/v1/tracks/3ZikLQCnH3SIswlGENBcKe,3ZikLQCnH3SIswlGENBcKe,My Favorite Things,47,spotify:track:3ZikLQCnH3SIswlGENBcKe,My Favorite Things
https://api.spotify.com/v1/tracks/5VzX7mZUlGFPPuEcKm8mlV,5VzX7mZUlGFPPuEcKm8mlV,Forever Spring,14,spotify:track:5VzX7mZUlGFPPuEcKm8mlV,Heroes + Misfits
https://api.spotify.com/v1/tracks/2oEvw0AfrT2fPNpEnBwVml,2oEvw0AfrT2fPNpEnBwVml,I Hear A Rhapsody,53,spotify:track:2oEvw0AfrT2fPNpEnBwVml,Undercurrent
https://api.spotify.com/v1/tracks/5QXDD5E0bWRdsgW0bQTYRG,5QXDD5E0bWRdsgW0bQTYRG,Miss Understanding,0,spotify:track:5QXDD5E0bWRdsgW0bQTYRG,The Epic
https://api.spotify.com/v1/tracks/0DTK1wka31c9Iam2OywdKg,0DTK1wka31c9Iam2OywdKg,Walkin' And Swingin',20,spotify:track:0DTK1wka31c9Iam2OywdKg,1930-1941
https://api.spotify.com/v1/tracks/5H9YotJfoPlfGRwo0BaK0v,5H9YotJfoPlfGRwo0BaK0v,"",0,spotify:track:5H9YotJfoPlfGRwo0BaK0v,""
https://api.spotify.com/v1/tracks/7oB0QBEnGRIJjvlDc8YnM6,7oB0QBEnGRIJjvlDc8YnM6,Rhapsody in Blue,53,spotify:track:7oB0QBEnGRIJjvlDc8YnM6,Gershwin: Rhapsody in Blue & An American in Paris
https://api.spotify.com/v1/tracks/5h3qo8KcaFLQ7WuseUL2ak,5h3qo8KcaFLQ7WuseUL2ak,Dear Old Stockholm,19,spotify:track:5h3qo8KcaFLQ7WuseUL2ak,Dear Old Stockholm
https://api.spotify.com/v1/tracks/7hK9jnESeCfc5fIHH76jKh,7hK9jnESeCfc5fIHH76jKh,Skating,50,spotify:track:7hK9jnESeCfc5fIHH76jKh,A Charlie Brown Christmas [2012 Remastered & Expanded Edition]
https://api.spotify.com/v1/tracks/5lBspfpAWdXE1dgxu6LP0s,5lBspfpAWdXE1dgxu6LP0s,Seven Eight Nine (part 1),0,spotify:track:5lBspfpAWdXE1dgxu6LP0s,Six For Six
https://api.spotify.com/v1/tracks/4BD61oILBbkkSojO7lcBPA,4BD61oILBbkkSojO7lcBPA,JAC,15,spotify:track:4BD61oILBbkkSojO7lcBPA,Perfect Animal
https://api.spotify.com/v1/tracks/73dk1Hmi0bDX9IMYISFuac,73dk1Hmi0bDX9IMYISFuac,Flim,46,spotify:track:73dk1Hmi0bDX9IMYISFuac,These Are The Vistas
